year,month,primary_sector,turnover_eur,num_taxpayers
2022.0,11.0,"Furnizimi me rryme, gaz, avull dhe ajer te kondicionuar",0.0,1.0
2024.0,5.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,70621.43,4.0
2019.0,5.0,Ndertimtaria,733.49,3.0
2019.0,10.0,Industria perpunuese,1824.58,1.0
2023.0,2.0,Sherbimet administrative dhe mbeshtetese,63791.7,1.0
2021.0,2.0,Industria perpunuese,0.0,1.0
2021.0,1.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,102589.14,2.0
2019.0,10.0,Akomodimi dhe sherbimi ushqimor,10418.92,2.0
2024.0,2.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,711.36,1.0
2025.0,1.0,Aktivitetet financiare dhe te sigurimit,81817.76,1.0
2020.0,3.0,Industria perpunuese,46153.3,2.0
2021.0,12.0,Ndertimtaria,105207.86,19.0
2020.0,6.0,Bujqesia;Pylltaria dhe Peshkimi,2927.37,2.0
2025.0,10.0,Industria perpunuese,15692.54,2.0
2021.0,10.0,Industria perpunuese,23714.96,4.0
2020.0,12.0,Ndertimtaria,0.0,2.0
2024.0,11.0,Transporti dhe magazinimi,0.0,1.0
2022.0,7.0,Mungon aktiviteti,0.0,1.0
2022.0,10.0,Aktivitetet financiare dhe te sigurimit,0.0,1.0
2023.0,6.0,Informimi dhe komunikimi,0.0,1.0
2022.0,2.0,Informimi dhe komunikimi,0.0,1.0
2022.0,4.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,4083.32,1.0
2024.0,4.0,Industria perpunuese,22689.28,3.0
2021.0,8.0,Akomodimi dhe sherbimi ushqimor,42864.62,2.0
2022.0,5.0,Aktivitetet e shendetit te njeriut dhe te punes sociale,1765.9,2.0
2023.0,5.0,Aktivitetet financiare dhe te sigurimit,45602.5,1.0
2022.0,8.0,Aktivitetet e tjera sherbyese,22775.95,1.0
2023.0,11.0,Industria perpunuese,21186.44,2.0
2020.0,8.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,0.0,2.0
2019.0,3.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,481.0,3.0
2019.0,3.0,Aktivitetet financiare dhe te sigurimit,0.0,1.0
2020.0,5.0,Industria perpunuese,11589.99,1.0
2021.0,5.0,Industria perpunuese,67141.19,3.0
2019.0,10.0,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,326152.6,1.0
2025.0,5.0,Aktivitetet e shendetit te njeriut dhe te punes sociale,15284.05,4.0
2024.0,1.0,Informimi dhe komunikimi,319835.0,1.0
2019.0,1.0,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,59481.56,1.0
2023.0,10.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,102763.43,6.0
2022.0,6.0,Sherbimet administrative dhe mbeshtetese,4620.0,1.0
2025.0,1.0,Industria perpunuese,17853.47,2.0
2022.0,10.0,Akomodimi dhe sherbimi ushqimor,5812.03,2.0
2023.0,11.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,4002.07,1.0
2023.0,7.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,142865.52,3.0
2025.0,3.0,Industria perpunuese,78109.63,14.0
2021.0,6.0,"Aktivitetet profesionale, shkencore dhe teknike",1260.0,2.0
2025.0,11.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,285989.16,11.0
2021.0,6.0,Aktivitetet e tjera sherbyese,5847.5,4.0
2025.0,10.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,759.92,1.0
2019.0,7.0,Industria perpunuese,2211.86,1.0
2023.0,6.0,Informimi dhe komunikimi,596831.05,1.0
2021.0,10.0,Industria perpunuese,72428.62,3.0
2024.0,12.0,Bujqesia;Pylltaria dhe Peshkimi,0.0,6.0
2023.0,8.0,Industria perpunuese,0.0,1.0
2025.0,8.0,Aktivitetet financiare dhe te sigurimit,0.0,1.0
2023.0,11.0,Ndertimtaria,1496916.9,1.0
2024.0,9.0,Aktivitetet financiare dhe te sigurimit,4356.5,2.0
2020.0,4.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,6264.5,1.0
2025.0,12.0,Industria perpunuese,3579.7,1.0
2022.0,11.0,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,0.0,1.0
2023.0,12.0,Transporti dhe magazinimi,2471.52,1.0
2024.0,5.0,"Aktivitetet profesionale, shkencore dhe teknike",8950.0,1.0
2019.0,5.0,Ndertimtaria,1100.0,1.0
2019.0,5.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,49863.41,1.0
2023.0,9.0,Aktivitetet e patundshmerise,2085.82,4.0
2020.0,3.0,Industria perpunuese,4323.25,2.0
2019.0,1.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,828267.42,2.0
2021.0,10.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,43704.5,2.0
2025.0,10.0,Industria perpunuese,553375.99,4.0
2020.0,8.0,Aktivitetet e tjera sherbyese,6343.21,2.0
2021.0,4.0,"Aktivitetet profesionale, shkencore dhe teknike",127118.64,1.0
2023.0,5.0,Sherbimet administrative dhe mbeshtetese,80373.42,4.0
2025.0,4.0,Ndertimtaria,33898.3,2.0
2022.0,12.0,Ndertimtaria,77845.0,2.0
2025.0,9.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,2102365.62,2.0
2023.0,2.0,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,993.75,1.0
2024.0,11.0,Bujqesia;Pylltaria dhe Peshkimi,0.0,1.0
2021.0,12.0,Industria perpunuese,0.0,2.0
2022.0,6.0,Ndertimtaria,84504.91,1.0
2025.0,7.0,Sherbimet administrative dhe mbeshtetese,17685.18,1.0
2022.0,3.0,Informimi dhe komunikimi,123945.0,2.0
2023.0,3.0,Bujqesia;Pylltaria dhe Peshkimi,0.0,1.0
2020.0,7.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,2188399.0,11.0
2024.0,8.0,"Aktivitetet profesionale, shkencore dhe teknike",27490.57,3.0
2020.0,4.0,"Aktivitetet profesionale, shkencore dhe teknike",3410.16,2.0
2021.0,4.0,Industria perpunuese,40455.24,1.0
2019.0,1.0,Industria perpunuese,1658.9,2.0
2019.0,1.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,217226.22,16.0
2020.0,9.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,413178.54,5.0
2025.0,5.0,Bujqesia;Pylltaria dhe Peshkimi,6084.75,1.0
2021.0,7.0,Industria nxjerrese,4677.96,1.0
2023.0,2.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,1853.85,4.0
2020.0,3.0,"Aktivitetet profesionale, shkencore dhe teknike",450.0,3.0
2025.0,4.0,Informimi dhe komunikimi,0.0,1.0
2019.0,2.0,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,25487.57,1.0
2025.0,9.0,Bujqesia;Pylltaria dhe Peshkimi,0.0,1.0
