year,month,registration_status,turnover_eur,num_taxpayers
2025.0,10.0,SH.P.K.,553375.99,4.0
2020.0,8.0,SH.P.K.,6343.21,2.0
2021.0,4.0,SH.P.K.,127118.64,1.0
2023.0,5.0,SH.P.K.,80373.42,4.0
2025.0,4.0,SH.P.K.,33898.3,2.0
2022.0,12.0,SH.P.K.,77845.0,2.0
2025.0,9.0,SH.P.K.,2102365.62,2.0
2023.0,2.0,SH.P.K.,993.75,1.0
2024.0,11.0,NDËRMARRJE SHOQ.,0.0,1.0
2021.0,12.0,INDIVIDUAL,0.0,2.0
2022.0,6.0,SH.P.K.,84504.91,1.0
2025.0,7.0,SH.P.K.,17685.18,1.0
2022.0,3.0,KOMPANI E HUAJ,123945.0,2.0
2023.0,3.0,INDIVIDUAL,0.0,1.0
2020.0,7.0,INDIVIDUAL,2188399.0,11.0
2024.0,8.0,INDIVIDUAL,27490.57,3.0
2020.0,4.0,SH.P.K.,3410.16,2.0
2021.0,4.0,SH.P.K.,40455.24,1.0
2019.0,1.0,SH.P.K.,1658.9,2.0
2019.0,1.0,INDIVIDUAL,217226.22,16.0
2020.0,9.0,ORTAKËRIA E PËRGJ.,413178.54,5.0
2025.0,5.0,SH.P.K.,6084.75,1.0
2021.0,7.0,INDIVIDUAL,4677.96,1.0
2023.0,2.0,INDIVIDUAL,1853.85,4.0
2020.0,3.0,SH.P.K.,450.0,3.0
2025.0,4.0,INDIVIDUAL,0.0,1.0
2019.0,2.0,SH.P.K.,25487.57,1.0
2025.0,9.0,INDIVIDUAL,0.0,1.0
2021.0,1.0,INDIVIDUAL,5605.93,1.0
2023.0,10.0,INDIVIDUAL,6984.59,2.0
2023.0,7.0,SH.P.K.,65558.06,4.0
2022.0,8.0,SH.P.K.,3940.68,1.0
2021.0,7.0,SH.P.K.,384145.93,5.0
2023.0,4.0,SH.P.K.,5015889.2,3.0
2022.0,1.0,INDIVIDUAL,5020.34,6.0
2025.0,2.0,INDIVIDUAL,16953.99,1.0
2021.0,3.0,SH.P.K.,3721.82,5.0
2020.0,6.0,INDIVIDUAL,12766.06,2.0
2020.0,8.0,INDIVIDUAL,3156.95,1.0
2019.0,2.0,SH.P.K.,3201.85,5.0
2020.0,11.0,SH.P.K.,55320.16,2.0
2022.0,5.0,SH.P.K.,3267.62,2.0
2019.0,4.0,INDIVIDUAL,9363.04,1.0
2020.0,10.0,INDIVIDUAL,97301.19,6.0
2019.0,8.0,SH.P.K.,6272.03,1.0
